HGNC ID gene,Approved symbol,Approved name,Previous symbols,Aliases,Chromosome,Group
HGNC:1493,CARS1,cysteinyl-tRNA synthetase 1,CARS,,11p15.4,"Aminoacyl tRNA synthetases, Class I"
HGNC:25695,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial",,,13q34,"Aminoacyl tRNA synthetases, Class I"
HGNC:29419,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial",,,16p12.2,"Aminoacyl tRNA synthetases, Class I"
HGNC:3418,EPRS1,glutamyl-prolyl-tRNA synthetase 1,"QPRS,QARS,EPRS",,1q41,"Aminoacyl tRNA synthetases, Class I"
HGNC:5330,IARS1,isoleucyl-tRNA synthetase 1,IARS,,9q22.31,"Aminoacyl tRNA synthetases, Class I"
HGNC:29685,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",,,1q41,"Aminoacyl tRNA synthetases, Class I"
HGNC:6512,LARS1,leucyl-tRNA synthetase 1,LARS,,5q32,"Aminoacyl tRNA synthetases, Class I"
HGNC:17095,LARS2,"leucyl-tRNA synthetase 2, mitochondrial",,,3p21.31,"Aminoacyl tRNA synthetases, Class I"
HGNC:6898,MARS1,methionyl-tRNA synthetase 1,MARS,,12q13.3,"Aminoacyl tRNA synthetases, Class I"
HGNC:25133,MARS2,"methionyl-tRNA synthetase 2, mitochondrial",,,2q33.1,"Aminoacyl tRNA synthetases, Class I"
HGNC:9751,QARS1,glutaminyl-tRNA synthetase 1,QARS,,3p21.31,"Aminoacyl tRNA synthetases, Class I"
HGNC:9870,RARS1,arginyl-tRNA synthetase 1,RARS,,5q34,"Aminoacyl tRNA synthetases, Class I"
HGNC:21406,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",RARSL,,6q15,"Aminoacyl tRNA synthetases, Class I"
HGNC:12651,VARS1,valyl-tRNA synthetase 1,"VARS2,VARS",,6p21.33,"Aminoacyl tRNA synthetases, Class I"
HGNC:21642,VARS2,"valyl-tRNA synthetase 2, mitochondrial","VARS2L,VARSL",,6p21.33,"Aminoacyl tRNA synthetases, Class I"
HGNC:12729,WARS1,tryptophanyl-tRNA synthetase 1,"IFI53,WARS",,14q32.2,"Aminoacyl tRNA synthetases, Class I"
HGNC:12730,WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial",,,1p12,"Aminoacyl tRNA synthetases, Class I"
HGNC:12840,YARS1,tyrosyl-tRNA synthetase 1,YARS,,1p35.1,"Aminoacyl tRNA synthetases, Class I"
HGNC:24249,YARS2,tyrosyl-tRNA synthetase 2,,,12p11.21,"Aminoacyl tRNA synthetases, Class I"
HGNC:20,AARS1,alanyl-tRNA synthetase 1,AARS,,16q22.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",AARSL,,6p21.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:2678,DARS1,aspartyl-tRNA synthetase 1,DARS,,2q21.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:25538,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial",,,1q25.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:3418,EPRS1,glutamyl-prolyl-tRNA synthetase 1,"QPRS,QARS,EPRS",,1q41,"Aminoacyl tRNA synthetases, Class II"
HGNC:3592,FARSA,phenylalanyl-tRNA synthetase subunit alpha,"FARSL,FARSLA",,19p13.13,"Aminoacyl tRNA synthetases, Class II"
HGNC:17800,FARSB,phenylalanyl-tRNA synthetase subunit beta,FARSLB,,2q36.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:21062,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",FARS1,,6p25.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:4162,GARS1,glycyl-tRNA synthetase 1,"CMT2D,GARS",,7p14.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:4816,HARS1,histidyl-tRNA synthetase 1,"USH3B,HARS",,5q31.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:4817,HARS2,"histidyl-tRNA synthetase 2, mitochondrial",HARSL,,5q31.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:6215,KARS1,lysyl-tRNA synthetase 1,"DFNB89,KARS",,16q23.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:7643,NARS1,asparaginyl-tRNA synthetase 1,NARS,,18q21.31,"Aminoacyl tRNA synthetases, Class II"
HGNC:26274,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial",DFNB94,,11q14.1,"Aminoacyl tRNA synthetases, Class II"
HGNC:30563,PARS2,"prolyl-tRNA synthetase 2, mitochondrial",,,1p32.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:10537,SARS1,seryl-tRNA synthetase 1,SARS,,1p13.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:17697,SARS2,"seryl-tRNA synthetase 2, mitochondrial",SARSM,,19q13.2,"Aminoacyl tRNA synthetases, Class II"
HGNC:11572,TARS1,threonyl-tRNA synthetase 1,TARS,,5p13.3,"Aminoacyl tRNA synthetases, Class II"
HGNC:30740,TARS2,"threonyl-tRNA synthetase 2, mitochondrial",TARSL1,,1q21.2,"Aminoacyl tRNA synthetases, Class II"
