HGNC ID gene,Approved symbol,Approved name,Previous symbols,Aliases,Chromosome
HGNC:380,AKR1A1,aldo-keto reductase family 1 member A1,,"ALR,DD3",1p34.1
HGNC:381,AKR1B1,aldo-keto reductase family 1 member B,ALDR1,AR,7q33
HGNC:382,AKR1B10,aldo-keto reductase family 1 member B10,AKR1B11,"AKR1B12,ARL-1,HIS,ARL1,HSI,ALDRLn",7q33
HGNC:37281,AKR1B15,aldo-keto reductase family 1 member B15,,,7q33
HGNC:384,AKR1C1,aldo-keto reductase family 1 member C1,DDH1,"DDH,MBAB,DD1,HAKRC",10p15.1
HGNC:385,AKR1C2,aldo-keto reductase family 1 member C2,"DDH2,TDD","DD,BABP,DD2,HAKRD,MCDR2",10p15.1
HGNC:386,AKR1C3,aldo-keto reductase family 1 member C3,HSD17B5,"KIAA0119,DDX,HAKRB,PGFS",10p15.1
HGNC:387,AKR1C4,aldo-keto reductase family 1 member C4,CHDR,"DD4,HAKRA,C11,3-alpha-HSD,CDR,MGC22581",10p15.1
HGNC:44679,AKR1C5P,"aldo-keto reductase family 1 member C5, pseudogene",,,10p15.1
HGNC:44680,AKR1C6P,"aldo-keto reductase family 1 member C6, pseudogene",,TAKR,10p15.1
HGNC:44681,AKR1C7P,"aldo-keto reductase family 1 member C7, pseudogene",,,10p15.1
HGNC:23469,AKR1C8,aldo-keto reductase family 1 member C8,"AKR1CL1,AKR1C8P",,10p15.1
HGNC:388,AKR1D1,aldo-keto reductase family 1 member D1,SRD5B1,,7q33
HGNC:23437,AKR1E2,aldo-keto reductase family 1 member E2,"AKRDC1,AKR1CL2","MGC10612,HTSP1,htAKR",10p15.1
HGNC:6228,KCNAB1,potassium voltage-gated channel subfamily A regulatory beta subunit 1,,"AKR6A3,KCNA1B,hKvBeta3,Kvb1.3,hKvb3",3q25.31
HGNC:6229,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,,"AKR6A5,KCNA2B,HKvbeta2.1,HKvbeta2.2",1p36.31
HGNC:6230,KCNAB3,potassium voltage-gated channel subfamily A regulatory beta subunit 3,,"AKR6A9,KCNA3B",17p13.1
HGNC:389,AKR7A2,aldo-keto reductase family 7 member A2,,AFAR,1p36.13
HGNC:390,AKR7A3,aldo-keto reductase family 7 member A3,,,1p36.13
